batch_uuid,provider_name,recipient_bank_name,amount,transaction_status,last_update
6mSFoaPh9Aro3l2U02fmr0HgWaQbZUFiqF1LZpDzyUg,ACH,First Atlantic,13634.02,REJECTED,2019-08-08 12:51:46.683177+00
6mSFoaPh9Aro3l2U02fmr0HgWaQbZUFiqF1LZpDzyUg,ACH,UMB,27141.00,REJECTED,2019-08-08 12:51:46.670311+00
6mSFoaPh9Aro3l2U02fmr0HgWaQbZUFiqF1LZpDzyUg,ACH,UBA,16834.90,REJECTED,2019-08-08 12:51:46.708358+00
6mSFoaPh9Aro3l2U02fmr0HgWaQbZUFiqF1LZpDzyUg,ACH,OmniBank,4854.96,REJECTED,2019-08-08 12:51:46.592793+00
6mSFoaPh9Aro3l2U02fmr0HgWaQbZUFiqF1LZpDzyUg,ACH,FBN,10615.63,REJECTED,2019-08-08 12:51:46.657693+00
6mSFoaPh9Aro3l2U02fmr0HgWaQbZUFiqF1LZpDzyUg,ACH,Unibank,24340.93,REJECTED,2019-08-08 12:51:46.695805+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.812836+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:27.148951+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.176604+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.188969+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.107029+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.119567+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.131792+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.057488+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.069774+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.082358+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.09478+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.007707+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.019705+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:33.044971+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.971184+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.983287+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.995567+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.934556+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.946615+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.958718+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.909822+00
